condition,label,reward,dataset_tag,dataset,split,method,repeat,seed,epochs,lr,config_path,result_path,status,original_wer,updated_wer,wer_delta,relative_delta_pct
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,earnings22,earnings22,test,RewardConditionedMaskLMReward1,3,123458,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/earnings22_test_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/earnings22_test_epoch1_lr1e-5_repeat3.txt,complete,0.235198,0.194964,-0.040234,-17.11
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,earnings22,earnings22,test,RewardConditionedMaskLMReward1,3,123458,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/earnings22_test_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/earnings22_test_epoch5_lr1e-5_repeat3.txt,complete,0.235218,0.185303,-0.049915,-21.22
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,rev16,rev16,test,RewardConditionedMaskLMReward1,1,123456,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/rev16_test_epoch1_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/rev16_test_epoch1_lr1e-5.txt,complete,0.172509,0.163599,-0.008911,-5.17
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,rev16,rev16,test,RewardConditionedMaskLMReward1,1,123456,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/rev16_test_epoch5_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/rev16_test_epoch5_lr1e-5.txt,complete,0.172504,0.159958,-0.012546,-7.27
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,rev16,rev16,test,RewardConditionedMaskLMReward1,2,123457,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/rev16_test_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/rev16_test_epoch1_lr1e-5_repeat2.txt,complete,0.172576,0.162833,-0.009743,-5.65
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,rev16,rev16,test,RewardConditionedMaskLMReward1,2,123457,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/rev16_test_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/rev16_test_epoch5_lr1e-5_repeat2.txt,complete,0.172571,0.159570,-0.013001,-7.53
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,rev16,rev16,test,RewardConditionedMaskLMReward1,3,123458,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/rev16_test_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/rev16_test_epoch1_lr1e-5_repeat3.txt,complete,0.172576,0.163170,-0.009406,-5.45
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,rev16,rev16,test,RewardConditionedMaskLMReward1,3,123458,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/rev16_test_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/rev16_test_epoch5_lr1e-5_repeat3.txt,complete,0.172576,0.159534,-0.013042,-7.56
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,TAL,this_american_life,test,RewardConditionedMaskLMReward1,1,123456,1,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/TAL_test_epoch1_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/TAL_test_epoch1_lr1e-5.txt,complete,0.165702,0.159077,-0.006626,-4.00
fixed_reward_1.0,fixed conditioning reward 1.0,1.0,TAL,this_american_life,test,RewardConditionedMaskLMReward1,1,123456,5,1e-5,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/configs/TAL_test_epoch5_lr1e-5.yaml,exp/results/repro/reward_conditioned_lm/no_audio_conditioning/rob124_384_dropout_reward_conditioning/all_dataset_fixed_rewards_0_and_1/RewardConditionedMaskLMReward1/TAL_test_epoch5_lr1e-5.txt,complete,0.165702,0.155694,-0.010009,-6.04
