method,table_method,dataset_tag,dataset,dataset_label,split,epochs,lr,repeat,seed,config_path,result_path,status,result_id,original_wer,updated_wer,wer_delta,relative_delta_pct
RFM,RFM,earnings22,earnings22,Earnings-22,test,1,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/earnings22_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/earnings22_epoch1_lr1e-5_repeat3.txt,complete,ROB-337-earnings22-test-RFM-epoch1-lr1e-5-repeat3-seed323456,0.235198007,0.196495313,-0.038702694,-16.46
RFM,RFM,earnings22,earnings22,Earnings-22,test,5,1e-5,1,123456,exp/results/repro/RFM/configs/earnings22_epoch5_lr1e-5.yaml,exp/results/repro/RFM/earnings22_epoch5_lr1e-5.txt,complete,ROB-108-earnings22-test-RFM-earnings22_epoch5_lr1e-5-repeat1,0.235218430,0.183179135,-0.052039295,-22.12
RFM,RFM,earnings22,earnings22,Earnings-22,test,5,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/earnings22_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/earnings22_epoch5_lr1e-5_repeat2.txt,complete,ROB-337-earnings22-test-RFM-epoch5-lr1e-5-repeat2-seed223456,0.235218430,0.184690481,-0.050527950,-21.48
RFM,RFM,earnings22,earnings22,Earnings-22,test,5,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/earnings22_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/earnings22_epoch5_lr1e-5_repeat3.txt,complete,ROB-337-earnings22-test-RFM-epoch5-lr1e-5-repeat3-seed323456,0.235238854,0.186160979,-0.049077875,-20.86
RFM,RFM,rev16,rev16,Rev16,test,1,1e-5,1,123456,exp/results/repro/RFM/configs/rev16_epoch1_lr1e-5.yaml,exp/results/repro/RFM/rev16_epoch1_lr1e-5.txt,complete,ROB-108-rev16-test-RFM-rev16_epoch1_lr1e-5-repeat1,0.172509230,0.165059004,-0.007450225,-4.32
RFM,RFM,rev16,rev16,Rev16,test,1,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/rev16_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/rev16_epoch1_lr1e-5_repeat2.txt,complete,ROB-337-rev16-test-RFM-epoch1-lr1e-5-repeat2-seed223456,0.172575613,0.165503260,-0.007072352,-4.10
RFM,RFM,rev16,rev16,Rev16,test,1,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/rev16_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/rev16_epoch1_lr1e-5_repeat3.txt,complete,ROB-337-rev16-test-RFM-epoch1-lr1e-5-repeat3-seed323456,0.172570507,0.164492195,-0.008078312,-4.68
RFM,RFM,rev16,rev16,Rev16,test,5,1e-5,1,123456,exp/results/repro/RFM/configs/rev16_epoch5_lr1e-5.yaml,exp/results/repro/RFM/rev16_epoch5_lr1e-5.txt,complete,ROB-108-rev16-test-RFM-rev16_epoch5_lr1e-5-repeat1,0.172509230,0.164022407,-0.008486823,-4.92
RFM,RFM,rev16,rev16,Rev16,test,5,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/rev16_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/rev16_epoch5_lr1e-5_repeat2.txt,complete,ROB-337-rev16-test-RFM-epoch5-lr1e-5-repeat2-seed223456,0.172575613,0.164119428,-0.008456185,-4.90
RFM,RFM,rev16,rev16,Rev16,test,5,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/rev16_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/rev16_epoch5_lr1e-5_repeat3.txt,complete,ROB-337-rev16-test-RFM-epoch5-lr1e-5-repeat3-seed323456,0.172575613,0.163767087,-0.008808526,-5.10
RFM,RFM,TAL,this_american_life,TAL,test,1,1e-5,1,123456,exp/results/repro/RFM/configs/TAL_epoch1_lr1e-5.yaml,exp/results/repro/RFM/TAL_epoch1_lr1e-5.txt,complete,ROB-108-this_american_life-test-RFM-TAL_epoch1_lr1e-5-repeat1,0.165696789,0.161865210,-0.003831580,-2.31
RFM,RFM,TAL,this_american_life,TAL,test,1,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/TAL_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/TAL_epoch1_lr1e-5_repeat2.txt,complete,ROB-337-TAL-test-RFM-epoch1-lr1e-5-repeat2-seed223456,0.165691150,0.161955431,-0.003735720,-2.25
RFM,RFM,TAL,this_american_life,TAL,test,1,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/TAL_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/TAL_epoch1_lr1e-5_repeat3.txt,complete,ROB-337-TAL-test-RFM-epoch1-lr1e-5-repeat3-seed323456,0.165691150,0.161992083,-0.003699067,-2.23
RFM,RFM,TAL,this_american_life,TAL,test,5,1e-5,1,123456,exp/results/repro/RFM/configs/TAL_epoch5_lr1e-5.yaml,exp/results/repro/RFM/TAL_epoch5_lr1e-5.txt,complete,ROB-108-this_american_life-test-RFM-TAL_epoch5_lr1e-5-repeat1,0.165696789,0.161171634,-0.004525155,-2.73
RFM,RFM,TAL,this_american_life,TAL,test,5,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/TAL_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/TAL_epoch5_lr1e-5_repeat2.txt,complete,ROB-337-TAL-test-RFM-epoch5-lr1e-5-repeat2-seed223456,0.165685512,0.160869957,-0.004815554,-2.91
RFM,RFM,TAL,this_american_life,TAL,test,5,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/TAL_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/TAL_epoch5_lr1e-5_repeat3.txt,complete,ROB-337-TAL-test-RFM-epoch5-lr1e-5-repeat3-seed323456,0.165691150,0.161760891,-0.003930259,-2.37
RFM,RFM,chime6,chime6,CHiME-6,test,1,1e-5,1,123456,exp/results/repro/RFM/configs/chime6_epoch1_lr1e-5.yaml,exp/results/repro/RFM/chime6_epoch1_lr1e-5.txt,complete,ROB-108-chime6-test-RFM-chime6_epoch1_lr1e-5-repeat1,0.843584773,0.666936905,-0.176647867,-20.94
RFM,RFM,chime6,chime6,CHiME-6,test,1,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/chime6_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/chime6_epoch1_lr1e-5_repeat2.txt,complete,ROB-337-chime6-test-RFM-epoch1-lr1e-5-repeat2-seed223456,0.843584773,0.665509341,-0.178075432,-21.11
RFM,RFM,chime6,chime6,CHiME-6,test,1,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/chime6_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/chime6_epoch1_lr1e-5_repeat3.txt,complete,ROB-337-chime6-test-RFM-epoch1-lr1e-5-repeat3-seed323456,0.843637645,0.655622136,-0.188015509,-22.29
RFM,RFM,chime6,chime6,CHiME-6,test,5,1e-5,1,123456,exp/results/repro/RFM/configs/chime6_epoch5_lr1e-5.yaml,exp/results/repro/RFM/chime6_epoch5_lr1e-5.txt,complete,ROB-108-chime6-test-RFM-chime6_epoch5_lr1e-5-repeat1,0.843620021,0.655252027,-0.188367994,-22.33
RFM,RFM,chime6,chime6,CHiME-6,test,5,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/chime6_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/chime6_epoch5_lr1e-5_repeat2.txt,complete,ROB-337-chime6-test-RFM-epoch5-lr1e-5-repeat2-seed223456,0.843620021,0.649242157,-0.194377864,-23.04
RFM,RFM,chime6,chime6,CHiME-6,test,5,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/configs/chime6_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RFM/chime6_epoch5_lr1e-5_repeat3.txt,complete,ROB-337-chime6-test-RFM-epoch5-lr1e-5-repeat3-seed323456,0.843584773,0.645153331,-0.198431442,-23.52
RMM,RMM,tedlium,tedlium,TED-LIUM,test,1,1e-5,1,123456,exp/results/repro/RMM/configs/tedlium_epoch1_lr1e-5.yaml,exp/results/repro/RMM/tedlium_epoch1_lr1e-5.txt,complete,ROB-108-tedlium-test-RMM-tedlium_epoch1_lr1e-5-repeat1,0.085344675,0.077724615,-0.007620060,-8.93
RMM,RMM,tedlium,tedlium,TED-LIUM,test,1,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/tedlium_epoch1_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/tedlium_epoch1_lr1e-5_repeat2.txt,complete,ROB-337-tedlium-test-RMM-epoch1-lr1e-5-repeat2-seed223456,0.085344675,0.077972710,-0.007371965,-8.64
RMM,RMM,tedlium,tedlium,TED-LIUM,test,1,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/tedlium_epoch1_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/tedlium_epoch1_lr1e-5_repeat3.txt,complete,ROB-337-tedlium-test-RMM-epoch1-lr1e-5-repeat3-seed323456,0.085344675,0.077441077,-0.007903597,-9.26
RMM,RMM,tedlium,tedlium,TED-LIUM,test,5,1e-5,1,123456,exp/results/repro/RMM/configs/tedlium_epoch5_lr1e-5.yaml,exp/results/repro/RMM/tedlium_epoch5_lr1e-5.txt,complete,ROB-108-tedlium-test-RMM-tedlium_epoch5_lr1e-5-repeat1,0.085344675,0.075031012,-0.010313663,-12.08
RMM,RMM,tedlium,tedlium,TED-LIUM,test,5,1e-5,2,223456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/tedlium_epoch5_lr1e-5_repeat2.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/tedlium_epoch5_lr1e-5_repeat2.txt,complete,ROB-337-tedlium-test-RMM-epoch5-lr1e-5-repeat2-seed223456,0.085344675,0.074889243,-0.010455432,-12.25
RMM,RMM,tedlium,tedlium,TED-LIUM,test,5,1e-5,3,323456,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/configs/tedlium_epoch5_lr1e-5_repeat3.yaml,exp/results/repro/learnt_augmentation_repeats/rob337/RMM/tedlium_epoch5_lr1e-5_repeat3.txt,complete,ROB-337-tedlium-test-RMM-epoch5-lr1e-5-repeat3-seed323456,0.085344675,0.075066454,-0.010278221,-12.04
RMM,RMM,earnings22,earnings22,Earnings-22,test,1,1e-5,1,123456,exp/results/repro/RMM/configs/earnings22_epoch1_lr1e-5.yaml,exp/results/repro/RMM/earnings22_epoch1_lr1e-5.txt,complete,ROB-108-earnings22-test-RMM-earnings22_epoch1_lr1e-5-repeat1,0.235218430,0.196209383,-0.039009048,-16.58
