condition,method,label,config_path,result_path,status,original_wer,updated_wer,wer_delta,relative_wer_change_pct
fixed_0.0,RewardConditionedMaskLMReward0,fixed reward 0.0,/exp/exp4/acp21rjf/symphony-workspaces-learning-to-augment/ROB-120/exp/results/repro/reward_conditioned_lm/no_audio_conditioning/old_ablations/rob120_earnings_reward_controls/RewardConditionedMaskLMReward0/configs/earnings22_test_epoch1_lr1e-5.yaml,/exp/exp4/acp21rjf/symphony-workspaces-learning-to-augment/ROB-120/exp/results/repro/reward_conditioned_lm/no_audio_conditioning/old_ablations/rob120_earnings_reward_controls/RewardConditionedMaskLMReward0/earnings22_test_epoch1_lr1e-5.txt,complete,0.235239,0.200008,-0.035231,-14.98
fixed_1.0,RewardConditionedMaskLMReward1,fixed reward 1.0,/exp/exp4/acp21rjf/symphony-workspaces-learning-to-augment/ROB-120/exp/results/repro/reward_conditioned_lm/no_audio_conditioning/old_ablations/rob120_earnings_reward_controls/RewardConditionedMaskLMReward1/configs/earnings22_test_epoch1_lr1e-5.yaml,/exp/exp4/acp21rjf/symphony-workspaces-learning-to-augment/ROB-120/exp/results/repro/reward_conditioned_lm/no_audio_conditioning/old_ablations/rob120_earnings_reward_controls/RewardConditionedMaskLMReward1/earnings22_test_epoch1_lr1e-5.txt,complete,0.235239,0.197619,-0.037620,-15.99
uniform_0.0_1.0,RewardConditionedMaskLMUniform0to1,"uniform reward [0.0, 1.0]",/exp/exp4/acp21rjf/symphony-workspaces-learning-to-augment/ROB-120/exp/results/repro/reward_conditioned_lm/no_audio_conditioning/old_ablations/rob120_earnings_reward_controls/RewardConditionedMaskLMUniform0to1/configs/earnings22_test_epoch1_lr1e-5.yaml,/exp/exp4/acp21rjf/symphony-workspaces-learning-to-augment/ROB-120/exp/results/repro/reward_conditioned_lm/no_audio_conditioning/old_ablations/rob120_earnings_reward_controls/RewardConditionedMaskLMUniform0to1/earnings22_test_epoch1_lr1e-5.txt,complete,0.235218,0.195801,-0.039418,-16.76
uniform_0.5_1.0,RewardConditionedMaskLMUniform0p5to1,"uniform reward [0.5, 1.0]",/exp/exp4/acp21rjf/symphony-workspaces-learning-to-augment/ROB-120/exp/results/repro/reward_conditioned_lm/no_audio_conditioning/old_ablations/rob120_earnings_reward_controls/RewardConditionedMaskLMUniform0p5to1/configs/earnings22_test_epoch1_lr1e-5.yaml,/exp/exp4/acp21rjf/symphony-workspaces-learning-to-augment/ROB-120/exp/results/repro/reward_conditioned_lm/no_audio_conditioning/old_ablations/rob120_earnings_reward_controls/RewardConditionedMaskLMUniform0p5to1/earnings22_test_epoch1_lr1e-5.txt,complete,0.235239,0.196434,-0.038805,-16.50
